Paper,Quality Score (Consensus After Discussion)
DeepSeek-Coder: When the Large Language Model Meets Programming -- The Rise of Code Intelligence,14
GPT-4 Technical Report,11
How Does Code Pretraining Affect Language Model Task Performance?,13
StarCoder 2 and The Stack v2: The Next Generation,13
How Propense Are Large Language Models at Producing Code Smells? A Benchmarking Study,14
Rethinking Repetition Problems of LLMs in Code Generation,12
Repetition In Repetition Out: Towards Understanding Neural Text Degeneration from the Data Perspective,16
Every Sample Matters: Leveraging Mixture-of-Experts and High-Quality Data for Efficient and Accurate Code LLM,12
At Which Training Stage Does Code Data Help LLMs Reasoning?,12
WaveCoder: Widespread And Versatile Enhancement For Code Large Language Models By Instruction Tuning,12
Brevity is the soul of wit: Pruning long files for code generation,13
Large Language Models are Qualified Benchmark Builders: Rebuilding Pre-Training Datasets for Advancing Code Intelligence Tasks,11
Beyond Correctness: Benchmarking Multi-dimensional Code Generation for Large Language Models,12
Is Functional Correctness Enough to Evaluate Code Language Models? Exploring Diversity of Generated Codes,12
Does Your Neural Code Completion Model Use My Code? A Membership Inference Approach,14
CodeCipher: Learning to Obfuscate Source Code Against LLMs,14
"To Code, or Not To Code? Exploring Impact of Code in Pre-training",10
DataComp-LM: In search of the next generation of training sets for language models,12
Which Programming Language and What Features at Pre-training Stage Affect Downstream Logical Inference Performance?,10
"RedStone: Curating General, Code, Math, and QA Data for Large Language Models",10
Code Llama: Open Foundation Models for Code,14
Evaluating Large Language Models Trained on Code,16
Assessing LLM code generation quality through path planning tasks,16
CODEJUDGE : Evaluating Code Generation with Large Language Models,12
Datasets for Large Language Models: A Comprehensive Survey,12
Synthetic Data Generation Using Large Language Models: Advances in Text and Code,16
Cracks in The Stack: Hidden Vulnerabilities and Licensing Risks in LLM Pre-Training Datasets,14
Unseen Horizons: Unveiling the Real Capability of LLM Code Generation Beyond the Familiar,14
RTL-Breaker: Assessing the Security of LLMs Against Backdoor Attacks on HDL Code Generation,10
MG-Verilog: Multi-grained Dataset Towards Enhanced LLM-assisted Verilog Generation,12
A Survey on Large Language Models for Code Generation,16
DataRecipe --- How to Cook the Data for CodeLLM?,14
Understanding Privacy Risks of Large Language Models in Japanese Based on Training Data Extraction Attacks,10
aiXcoder-7B: A Lightweight and Effective Large Language Model for Code Processing,12
Imperfect Code Generation: Uncovering Weaknesses in Automatic Code Generation by Large Language Models,14
On Inter-Dataset Code Duplication and Data Leakage in Large Language Models,12
LLM-ProS: Analyzing Large Language Models’ Performance in Competitive Problem Solving,11
Evaluating Large Language Models in Class-Level Code Generation,12
Uncovering Pretraining Code in LLMs: A Syntax-Aware Attribution Approach,12
Unseen-Codebases-Domain Data Synthesis and Training Based on Code Graphs,16
DRAINCODE: Stealthy Energy Consumption Attacks on Retrieval-Augmented Code Generation via Context PoisoningPreprint,10
RealSec-bench: A Benchmark for Evaluating Secure Code Generation in Real-World Repositories,12
ShortCoder: Knowledge-Augmented Syntax Optimization for Token-Efficient Code GenerationPreprint,14
Framework-Aware Code Generation with API Knowledge Graph-Constructed Data: A Study on HarmonyOS,13
A hierarchical and evolvable benchmark for fine-grained code instruction following with multi-turn feedback,13
Beyond functional correctness: Investigating coding style inconsistencies in large language models,15
Adadec: Uncertainty-guided adaptive decoding for llm-based code generation,10
Code Copycat Conundrum: Demystifying Repetition in LLM-based Code Generation,12
What to retrieve for effective retrieval-augmented code generation? an empirical study and beyond,12
RustEvo^ 2: An Evolving Benchmark for API Evolution in LLM-based Rust Code Generation,16
A Preliminary Study on the Robustness of Code Generation by Large Language Models,10
"Llm hallucinations in practical code generation: Phenomena, mechanism, and mitigation",13
COFFE: A Code Efficiency Benchmark for Code Generation,13
Asleep at the keyboard? assessing the security of github copilot's code contributions,12
