record_id,citation_key,record_type,title,title_variants,authors,author_variants,year,year_variants,publication_title,publication_title_variants,volume,issue,pages,publisher,issn,isbn,doi,arxiv_id,arxiv_version,abstract,keywords,categories,url,pdf_url,published_date,updated_date,journal_reference,sources,source_record_count,source_record_ids,source_urls,deduplication_methods
P00223,paper_33e06a56142a648e,inproceedings,ServiceCoder: A Service Computing Code Generation Model,ServiceCoder: A Service Computing Code Generation Model,Y. Chen; L. Yu; X. Zhou; H. Su; J. Liu; Y. Wang,Y. Chen; L. Yu; X. Zhou; H. Su; J. Liu; Y. Wang,2024,2024,2024 IEEE International Conference on Web Services (ICWS),2024 IEEE International Conference on Web Services (ICWS),,,1112--1114,IEEE,2836-3868,979-8-3503-6855-0,10.1109/icws62655.2024.00133,,,"This paper reports on work in progress on the application of a Parameter-Efficient Fine-Tuning (PEFT[1]) that combines a baseline code generation model (CGM) with Quantization and Low-rank Adapter (QLoRA[2]). Thereby improving the progress of work on baseline models in dealing with the quality of service code. Current research has focused on applying CGM to code generation tasks for common programming projects. At the same time, fewer attempts have been made to fine-tune the models for service computing, resulting in poor performance of open-source CGMs for code generation tasks in this domain. By acquiring a dataset of code snippets related to service computing tasks, we develop a CGM, ServiceCoder. Experimental results show that ServiceCoder is better than pre-trained CGMs in programming in the service computing domain. Finally, the RESTful[3] API integration ensures the security and convenience of the model in real applications, offering a novel approach to investigating the intersection of code generation and Service Computing; thus, this work makes an exploratory contribution.",code generation; parameter-efficient fine-tuning; large language model; service computing; Adaptation models; Codes; Quantization (signal); Web services; Computational modeling; Quality of service; Programming; Security,,https://doi.org/10.1109/icws62655.2024.00133,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10707488,15 Oct 2024,,,IEEE Xplore,1,IEEE Xplore:10707488,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10707488,
P00224,paper_e36fce7f857b311a,inproceedings,Exploring the Feasibility of End-to-End Large Language Model as a Compiler,Exploring the Feasibility of End-to-End Large Language Model as a Compiler,Hongbin Zhang; Shihao Gao; Yang Liu; Mingjie Xing; Yanjun Wu; Chen Zhao,H. Zhang; S. Gao; Y. Liu; M. Xing; Y. Wu; C. Zhao || Hongbin Zhang; Shihao Gao; Yang Liu; Mingjie Xing; Yanjun Wu; Chen Zhao,2025,2025,2025 International Joint Conference on Neural Networks (IJCNN),2025 International Joint Conference on Neural Networks (IJCNN),,,1--8,IEEE,2161-4407,979-8-3315-1042-8,10.1109/ijcnn64981.2025.11229275,2511.04132,v1,"In recent years, end-to-end Large Language Model (LLM) technology has shown substantial advantages across various domains. As critical system software and infrastructure, compilers are responsible for transforming source code into target code. While LLMs have been leveraged to assist in compiler development and maintenance, their potential as an end-to-end compiler remains largely unexplored. This paper explores the feasibility of LLM as a Compiler (LaaC) and its future directions. We designed the CompilerEval† dataset and framework specifically to evaluate the capabilities of mainstream LLMs in source code comprehension and assembly code generation. In the evaluation, we analyzed various errors, explored multiple methods to improve LLM-generated code, and evaluated cross-platform compilation capabilities. Experimental results demonstrate that LLMs exhibit basic capabilities as compilers but currently achieve low compilation success rates. By optimizing prompts, scaling up the model, and incorporating reasoning methods, the quality of assembly code generated by LLMs can be significantly enhanced. Based on these findings, we maintain an optimistic outlook for LaaC and propose practical architectural designs and future research directions. We believe that with targeted training, knowledge-rich prompts, and specialized infrastructure, LaaC has the potential to generate high-quality assembly code and drive a paradigm shift in the field of compilation.",end-to-end LLM; compiler technology; assembly code generation; Training; Codes; Source coding; Large language models; Neural networks; System software; Maintenance; Kernel; Assembly; Standards,cs.LG,https://doi.org/10.1109/ijcnn64981.2025.11229275,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11229275,14 Nov 2025,2025-11-06T07:21:42Z,,IEEE Xplore; arXiv,2,IEEE Xplore:11229275 | arXiv:2511.04132v1,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11229275 | http://arxiv.org/abs/2511.04132v1 | https://arxiv.org/pdf/2511.04132v1,equivalent_title
P00225,paper_9ffa3be0fda5e9e6,inproceedings,FaultLLAMA2: A Fine Tuned Large Language Model for Code Recommendations to Reduce Java Lock Contention,FaultLLAMA2: A Fine Tuned Large Language Model for Code Recommendations to Reduce Java Lock Contention,A. Shawon; R. Liscano; A. Azim; V. Sundaresan; Y. -K. Chang,A. Shawon; R. Liscano; A. Azim; V. Sundaresan; Y. -K. Chang,2024,2024,2024 34th International Conference on Collaborative Advances in Software and COmputiNg (CASCON),2024 34th International Conference on Collaborative Advances in Software and COmputiNg (CASCON),,,1--9,IEEE,,979-8-3315-0483-0,10.1109/cascon62161.2024.10837708,,,"Lock contention occurs when multiple threads or processes try to access the same lock simultaneously, often causing performance degradation in software that runs concurrent threads. In this paper, we propose a new recommendation model that leverages Large Language Models (LLMs) and suggests refactored source code to alleviate lock contention faults. Our proposed FaultLLAMA2 model is based on a fine-tuned customization of the generalized LLAMA2 LLM model. FaultLLAMA2 is fine-tuned on examples of lock contention anti-patterns and their associated recommendations. Our results show that the accuracy of the FaultLLAMA2 model was on average 2.7 times higher than the LLAMA2 baseline model based on the BLED and Pass@K metrics. We also compared the FaultLLAMA2 model recommendations with a CodeBERT code generation model fine-tuned for lock contention recommendations and its accuracy was 4 times better.",Lock Contention; Refactored Code Recommendation; Anti-Patterns; Large Language Model; Measurement; Codes; Accuracy; Computational modeling; Large language models; Source coding; Refining; Reinforcement learning; Software; Tuning,,https://doi.org/10.1109/cascon62161.2024.10837708,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10837708,17 Jan 2025,,,IEEE Xplore,1,IEEE Xplore:10837708,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10837708,
P00226,paper_dbd56fa95814f3b3,inproceedings,Evaluating efficacy of LLMs and Embedding Models in Resume Parsing: A Comparative Analysis Using Open Source LLMs,Evaluating efficacy of LLMs and Embedding Models in Resume Parsing: A Comparative Analysis Using Open Source LLMs,A. Atiq; G. Ubakanma; M. Iqbal,A. Atiq; G. Ubakanma; M. Iqbal,2025,2025,2025 8th International Conference on Enterprise Systems (ES),2025 8th International Conference on Enterprise Systems (ES),,,1--8,IEEE,2572-6609,979-8-3315-8890-8,10.1109/es64449.2025.11136269,,,"Accurate extraction and categorization of detailed resume information are critical for talent acquisition and workforce analytics, yet the diverse formats and terminologies of resumes create significant challenges for automated processing. This study addresses the problem of effective resume parsing by investigating the potential of Large Language Models (LLMs) and embedding techniques. We evaluate various state-of-the-art open-source LLMs to determine their performance in extracting and categorizing essential sections of resumes, such as education, work experience, technical skills, and personal statements. The research aims to identify the optimal combination of LLMs and embedding techniques that achieve high accuracy and efficiency in the extraction process. Additionally, the study explores the strengths and weaknesses of these models in handling complex, nonstandard, and industry-specific terminologies. Ultimately, our goal is to develop a systematic framework to automate the processing of resume information into a structured database, enhancing talent management and recruitment strategies. Our findings reveal that the llama3-8b-8192 LLM outperforms other models regarding correctness and relevance in resume parsing, contributing to advancements in natural language processing within human resource management. This research paves the way for more effective and efficient strategies in recruitment, skills analysis, and workforce planning.",LLMs; Embeddings; Resume Parsing; Llama; Accuracy; Systematics; Terminology; Databases; Large language models; Resumes; Education; Natural language processing; Planning; Recruitment,,https://doi.org/10.1109/es64449.2025.11136269,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11136269,29 Aug 2025,,,IEEE Xplore,1,IEEE Xplore:11136269,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11136269,
P00227,paper_ebbf462c4d99c539,inproceedings,"Debate, Verify, and Debug: A Multi-Agent Planning Framework for Reliable Code Generation","Debate, Verify, and Debug: A Multi-Agent Planning Framework for Reliable Code Generation",K. Lin; T. Zou; H. Yuan,K. Lin; T. Zou; H. Yuan,2025,2025,2025 IEEE 8th International Conference on Computer and Communication Engineering Technology (CCET),2025 IEEE 8th International Conference on Computer and Communication Engineering Technology (CCET),,,1--7,IEEE,2836-5992,979-8-3315-5810-9,10.1109/ccet66260.2025.11199679,,,"Recent advancements in Large Language Models(LLMs) have demonstrated remarkable capabilities in generating problem-solving code directly from natural language descriptions of programming tasks. This ability highlights the potential of LLMs in automated software development. However, in real-world scenarios, user-provided problem descriptions are often incomplete or imprecise, lacking critical details required for accurate code generation. To address this limitation, we leverage the role-playing capability of LLMs and propose a multiagent framework designed to enhance the clarity, accuracy, and robustness of code generation. Our framework employs three specialized agents that collaboratively analyze the programming problem from different perspectives: requirement clarification, solution feasibility assessment, and robustness analysis. Through structured discussion, these agents refine the initial problem description into a collaboratively refined, detailed specification, ensuring comprehensive coverage of functional and nonfunctional requirements. Additionally, the framework incorporates conflict detection to verify that the refined specifications remain consistent with the user's original intent. The finalized detailed description is then passed to programming and testing agents for code generation and validation. We evaluate our framework on the benchmark datasets. The results demonstrate that requirement discussion and conflict detection significantly improve the success rate of code generation over the direct application of initial problem descriptions. Our findings suggest that the proposed multi-agent approach enhances the reliability and practical viability of LLM-based automated programming.",code generation; generative AI; large language model; Codes; Accuracy; Large language models; Natural languages; Programming; Reliability engineering; Robustness; Planning; Problem-solving; Software development management,,https://doi.org/10.1109/ccet66260.2025.11199679,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11199679,21 Oct 2025,,,IEEE Xplore,1,IEEE Xplore:11199679,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11199679,
P00228,paper_c2e62bef85a1bfa9,inproceedings,Generating Secure Artificial Intelligence Model Source Code: A Reinforcement Learning Approach,Generating Secure Artificial Intelligence Model Source Code: A Reinforcement Learning Approach,A. Kathikar; B. Lazarine; Y. Gao; A. Shah; S. Samtani,A. Kathikar; B. Lazarine; Y. Gao; A. Shah; S. Samtani,2025,2025,2025 IEEE Security and Privacy Workshops (SPW),2025 IEEE Security and Privacy Workshops (SPW),,,265--269,IEEE,2770-8411,979-8-3315-6643-2,10.1109/spw67851.2025.00037,,,"The increasing adoption of open-source AI models has introduced critical security risks, as vulnerabilities in AI model source code propagate through the software supply chain. This study presents a reinforcement learning (RL) based framework for automatically optimizing engineered prompts to reduce security vulnerabilities in existing AI model source code. This approach serves as a security-focused intervention applied during human interaction with potentially insecure AI source code. Our RL agent operates within a structured state space and utilizes an action space consisting of 75 prompt engineering actions to refine LLM prompts for AI model source code. The reward function guides the model toward secure and executable code. Our evaluation demonstrates that the RL agent reduces high-severity vulnerabilities by 40.27%, medium-severity vulnerabilities by 64.91%, and low-severity vulnerabilities by 68.91% in existing repositories that users may leverage. This method can help developers utilizing OSS AI model source code ensure the security of their software supply chain. To our knowledge, this is the first RL-based vulnerability mitigation specifically designed for AI model source code, contributing to ongoing efforts in human-machine intelligence for security analytics.",Privacy; Source coding; Prevention and mitigation; Human-machine systems; Supply chains; Reinforcement learning; Software; Security; Prompt engineering; Artificial intelligence,,https://doi.org/10.1109/spw67851.2025.00037,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11050810,3 Jul 2025,,,IEEE Xplore,1,IEEE Xplore:11050810,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11050810,
P00229,paper_e793271419bfbe29,inproceedings,Invited Paper: VerilogEval: Evaluating Large Language Models for Verilog Code Generation,Invited Paper: VerilogEval: Evaluating Large Language Models for Verilog Code Generation || VerilogEval: Evaluating Large Language Models for Verilog Code Generation,Mingjie Liu; Nathaniel Pinckney; Brucek Khailany; Haoxing Ren,M. Liu; N. Pinckney; B. Khailany; H. Ren || Mingjie Liu; Nathaniel Pinckney; Brucek Khailany; Haoxing Ren,2023,2023,2023 IEEE/ACM International Conference on Computer Aided Design (ICCAD),2023 IEEE/ACM International Conference on Computer Aided Design (ICCAD),,,1--8,IEEE,1558-2434,979-8-3503-2225-5,10.1109/iccad57390.2023.10323812,2309.07544,v2,"The increasing popularity of large language models (LLMs) has paved the way for their application in diverse domains. This paper proposes a benchmarking framework tailored specifically for evaluating LLM performance in the context of Verilog code generation for hardware design and verification. We present a comprehensive evaluation dataset consisting of 156 problems from the Verilog instructional website HDLBits. The evaluation set consists of a diverse set of Verilog code generation tasks, ranging from simple combinational circuits to complex finite state machines. The Verilog code completions can be automatically tested for functional correctness by comparing the transient simulation outputs of the generated design with a golden solution. We also demonstrate that the Verilog code generation capability of pretrained language models could be improved with supervised fine-tuning by bootstrapping with LLM generated synthetic problem-code pairs.",Codes; Design automation; Benchmark testing; Hardware; Distance measurement; Combinational circuits; Hardware design languages,cs.LG; cs.SE,https://doi.org/10.1109/iccad57390.2023.10323812,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10323812,30 Nov 2023,2023-12-10T00:23:04Z,,IEEE Xplore; arXiv,2,IEEE Xplore:10323812 | arXiv:2309.07544v2,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10323812 | http://arxiv.org/abs/2309.07544v2 | https://arxiv.org/pdf/2309.07544v2,fuzzy_title_author_year
P00230,paper_baaad4f3ec358693,inproceedings,Franc: A Lightweight Framework for High-Quality Code Generation,Franc: A Lightweight Framework for High-Quality Code Generation,Mohammed Latif Siddiq; Beatrice Casey; Joanna C. S. Santos,M. L. Siddiq; B. Casey; J. C. S. Santos || Mohammed Latif Siddiq; Beatrice Casey; Joanna C. S. Santos,2024,2024 || 2023,2024 IEEE International Conference on Source Code Analysis and Manipulation (SCAM),2024 IEEE International Conference on Source Code Analysis and Manipulation (SCAM),,,106--117,IEEE,2470-6892,979-8-3315-2850-8,10.1109/scam63643.2024.00020,2307.08220,v2,"In recent years, the use of automated source code generation utilizing transformer-based generative models has grown in popularity. These models can generate code according to the developers' requirements. However, recent research showed that these automatically generated source codes can contain vulnerabilities and other quality issues. Despite researchers' and practitioners' attempts to enhance code generation models, retraining and fine-tuning large language models is not only time-consuming but also resource-intensive and costly. Thus, in this paper, we describe FRANC, a lightweight framework for recommending more secure and high-quality source code derived from transformer-based code generation models. FRANC includes a static filter to make the generated code compilable with heuristics and a quality-aware ranker to sort the code snippets based on a quality score. Moreover, the framework uses prompt engineering to fix persistent quality issues. We evaluated FRANC with five Python and Java code generation models and six prompt datasets, including a newly created one in this work (FRANC). The static filter improves 9% to 46% Java suggestions and 10% to 43% Python suggestions regarding compilability. The average improvement over the NDCG@10 score for the ranking system is 0.0763, and the repairing techniques repair the highest 80% of prompts. FRANC takes, on average, 1.98 seconds for Java; for Python, it takes 0.08 seconds.",code generation; code quality; code security; large language models; Java; Analytical models; Codes; Source coding; Maintenance engineering; Transformers; Prompt engineering,cs.SE; cs.LG,https://doi.org/10.1109/scam63643.2024.00020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795381,19 Dec 2024,2024-08-28T14:47:24Z,,IEEE Xplore; arXiv,2,IEEE Xplore:10795381 | arXiv:2307.08220v2,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795381 | http://arxiv.org/abs/2307.08220v2 | https://arxiv.org/pdf/2307.08220v2,equivalent_title
P00231,paper_c587c40ec7463e76,inproceedings,Code Generation Using Self-Interactive Assistant,Code Generation Using Self-Interactive Assistant,Z. Zhao; J. Sun; C. -H. Cai; Z. Wei,Z. Zhao; J. Sun; C. -H. Cai; Z. Wei,2024,2024,"2024 IEEE 48th Annual Computers, Software, and Applications Conference (COMPSAC)","2024 IEEE 48th Annual Computers, Software, and Applications Conference (COMPSAC)",,,2347--2352,IEEE,2836-3795,979-8-3503-7696-8,10.1109/compsac61105.2024.00377,,,"The rise of large language models (LLMs) has expanded the possibilities for generative tasks. While LLMs excel at tasks like information retrieval and question-answering, conventional code generation LLMs often struggle to maintain fidelity to prompts, leading to coding hallucinations that produce inaccurate results. In this study, we present Self Coder, a self-guided, single-agent framework for code generation utilising the OpenAI Assistant API built upon GPT-4. By tapping into a comprehensive Python code knowledge base, Self Coder creates an initial draft and refines it iteratively through a feedback loop using the Code Interpreter tool. This approach minimizes contextual inconsistencies and significantly reduces errors, achieving state-of-the-art results on the HumanEval and MBPP datasets, outperforming other code generation frameworks.",Code Generation; OpenAI Assistant API; GPT; Large Language Model; Codes; Computational modeling; Large language models; Knowledge based systems; Programming; Software; Robustness,,https://doi.org/10.1109/compsac61105.2024.00377,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10633497,26 Aug 2024,,,IEEE Xplore,1,IEEE Xplore:10633497,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10633497,
P00232,paper_c75dec000c695b99,inproceedings,"Prompt Engineering for Python Code Debugging with Large Language Models: A Comparative Analysis of Zero-Shot, Few-Shot, and Chain-of-Thought Approaches","Prompt Engineering for Python Code Debugging with Large Language Models: A Comparative Analysis of Zero-Shot, Few-Shot, and Chain-of-Thought Approaches",R. P. Darmawan; S. A. Wibowo,R. P. Darmawan; S. A. Wibowo,2025,2025,2025 IEEE International Symposium on Future Telecommunication Technologies (SOFTT),2025 IEEE International Symposium on Future Telecommunication Technologies (SOFTT),,,391--395,IEEE,,979-8-3315-6931-0,10.1109/softt67007.2025.11213109,,,"This paper presents a comprehensive comparative analysis of three distinct prompt engineering strategies—Zero-Shot, Few-Shot, and Chain-of-Thought—for Python code debugging applications using DeepSeek Coder 1.3B, a lightweight large language model. The study addresses the critical gap in understanding how different prompting approaches perform with compact models in resource-constrained environments, which is increasingly important for practical deployment scenarios. Through systematic evaluation on a custom dataset comprising 20 carefully curated Python debugging problems covering syntax errors, logic errors, and control cases, we employed a weighted evaluation metric that prioritizes functional correctness while accounting for syntax validity and execution capability. The experimental framework utilized automated testing and statistical analysis to ensure robust and reproducible results. Contrary to prevailing assumptions in the literature, our findings demonstrate that Zero-Shot prompting achieves superior performance with a mean score of 0.783, significantly outperforming Few-Shot (0.643) and Chain-of-Thought (0.613) approaches. Notably, Chain-of-Thought exhibits substantial performance variability (±0.369) and particularly struggles with syntax error correction, while Zero-Shot maintains consistent superiority across all bug types examined. These counterintuitive results suggest that for lightweight models, simpler prompting strategies enable more effective computational resource allocation to core debugging tasks. The findings have significant implications for developing practical debugging tools in educational settings and resource-constrained deployment environments, challenging the universal applicability of sophisticated prompting techniques across different model scales.",prompt engineering; code debugging; large language models; zero-shot learning; few-shot learning; chain-of-thought; Adaptation models; Codes; Computational modeling; Computer bugs; Debugging; Syntactics; Logic; Resource management,,https://doi.org/10.1109/softt67007.2025.11213109,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11213109,31 Oct 2025,,,IEEE Xplore,1,IEEE Xplore:11213109,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11213109,
P00233,paper_f5cb5e24489b32a2,inproceedings,LLaMA-Reviewer: Advancing Code Review Automation with Large Language Models through Parameter-Efficient Fine-Tuning,LLaMA-Reviewer: Advancing Code Review Automation with Large Language Models through Parameter-Efficient Fine-Tuning,J. Lu; L. Yu; X. Li; L. Yang; C. Zuo,J. Lu; L. Yu; X. Li; L. Yang; C. Zuo,2023,2023,2023 IEEE 34th International Symposium on Software Reliability Engineering (ISSRE),2023 IEEE 34th International Symposium on Software Reliability Engineering (ISSRE),,,647--658,IEEE,2332-6549,979-8-3503-1594-3,10.1109/issre59848.2023.00026,,,"The automation of code review activities, a long-standing pursuit in software engineering, has been primarily addressed by numerous domain-specific pre-trained models. Despite their success, these models frequently demand extensive resources for pre-training from scratch. In contrast, Large Language Models (LLMs) provide an intriguing alternative, given their remarkable capabilities when supplemented with domain-specific knowledge. However, their potential for automating code review tasks remains largely unexplored.In response to this research gap, we present LLaMA-Reviewer, an innovative framework that leverages the capabilities of LLaMA, a popular LLM, in the realm of code review. Mindful of resource constraints, this framework employs parameter-efficient fine-tuning (PEFT) methods, delivering high performance while using less than 1% of trainable parameters.An extensive evaluation of LLaMA-Reviewer is conducted on two diverse, publicly available datasets. Notably, even with the smallest LLaMA base model consisting of 6.7B parameters and a limited number of tuning epochs, LLaMA-Reviewer equals the performance of existing code-review-focused models.The ablation experiments provide insights into the influence of various fine-tuning process components, including input representation, instruction tuning, and different PEFT methods. To foster continuous progress in this field, the code and all PEFT-weight plugins have been made open-source.",Code Review Automation; Large Language Models (LLMs); Parameter-Efficient Fine-Tuning (PEFT); Deep Learning; LLaMA; Software Quality Assurance; Codes; Automation; Quality assurance; Software reliability; Task analysis; Tuning; Software engineering,,https://doi.org/10.1109/issre59848.2023.00026,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10299938,2 Nov 2023,,,IEEE Xplore,1,IEEE Xplore:10299938,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10299938,
P00234,paper_04cd0722421d97f9,article,Fight Fire With Fire: How Much Can We Trust ChatGPT on Source Code-Related Tasks?,Fight Fire With Fire: How Much Can We Trust ChatGPT on Source Code-Related Tasks?,Xiao Yu; Lei Liu; Xing Hu; Jacky Wai Keung; Jin Liu; Xin Xia,X. Yu; L. Liu; X. Hu; J. W. Keung; J. Liu; X. Xia || Xiao Yu; Lei Liu; Xing Hu; Jacky Wai Keung; Jin Liu; Xin Xia,2024,2024,IEEE Transactions on Software Engineering,IEEE Transactions on Software Engineering,50,12,3435--3453,IEEE,1939-3520,,10.1109/tse.2024.3492204,2405.12641,v2,"With the increasing utilization of large language models such as ChatGPT during software development, it has become crucial to verify the quality of code content it generates. Recent studies proposed utilizing ChatGPT as both a developer and tester for multi-agent collaborative software development. The multi-agent collaboration empowers ChatGPT to produce test reports for its generated code, enabling it to self-verify the code content and fix bugs based on these reports. However, these studies did not assess the effectiveness of the generated test reports in validating the code. Therefore, we conduct a comprehensive empirical investigation to evaluate ChatGPT's self-verification capability in code generation, code completion, and program repair. We request ChatGPT to (1) generate correct code and then self-verify its correctness; (2) complete code without vulnerabilities and then self-verify for the presence of vulnerabilities; and (3) repair buggy code and then self-verify whether the bugs are resolved. Our findings on two code generation datasets, one code completion dataset, and two program repair datasets reveal the following observations: (1) ChatGPT often erroneously predicts its generated incorrect code as correct, its vulnerable completed code as non-vulnerable, and its failed program repairs as successful during its self-verification. (2) The self-contradictory hallucinations in ChatGPT's behavior arise: (a) ChatGPT initially generates code that it believes to be correct but later predicts it to be incorrect; (b) ChatGPT initially generates code completions that it deems secure but later predicts them to be vulnerable; (c) ChatGPT initially outputs code that it considers successfully repaired but later predicts it to be buggy during its self-verification. (3) The self-verification capability of ChatGPT can be enhanced by asking the guiding question, which queries whether ChatGPT agrees with assertions about incorrectly generated or repaired code and vulnerabilities in completed code. (4) Using test reports generated by ChatGPT can identify more vulnerabilities in completed code, but the explanations for incorrectly generated code and failed repairs are mostly inaccurate in the test reports. Based on these findings, we provide implications for further research or development using ChatGPT.",Empirical study; ChatGPT; self-verification; code generation; code completion; program repair; Codes; Chatbots; Maintenance engineering; Software development management; Software; Computer bugs; Urban areas; Computer science; Accuracy; Source coding,cs.SE,https://doi.org/10.1109/tse.2024.3492204,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10745266,5 Nov 2024,2024-11-28T09:48:51Z,,IEEE Xplore; arXiv,2,IEEE Xplore:10745266 | arXiv:2405.12641v2,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10745266 | http://arxiv.org/abs/2405.12641v2 | https://arxiv.org/pdf/2405.12641v2,equivalent_title
P00235,paper_60e7ba2fa6140901,article,Evaluating Coding Proficiency of Large Language Models: An Investigation Through Machine Learning Problems,Evaluating Coding Proficiency of Large Language Models: An Investigation Through Machine Learning Problems,E. Ko; P. Kang,E. Ko; P. Kang,2025,2025,IEEE Access,IEEE Access,13,,52925--52938,IEEE,2169-3536,,10.1109/access.2025.3553870,,,"Large Language Models (LLMs) have demonstrated remarkable capabilities across various domains, but their effectiveness in coding workflows, particularly in machine learning (ML), requires deeper evaluation. This paper investigates the coding proficiency of LLMs such as GPT and Gemini by benchmarking their performance on three ML problems: Titanic, MNIST, and Steel Defect. These problems were chosen to encompass a range of challenges, including handling missing data, feature engineering, deep learning architectures, and multi-label classification. Using systematic prompts, we evaluated the LLMs’ abilities in data preprocessing, hyperparameter tuning, and classifier generation, comparing their outputs with those of human developers and AutoML frameworks. Experimental results indicate that the human developer outperformed untuned LLMs in data preprocessing, maintaining a 3–5% accuracy advantage across datasets. However, GPT’s hyperparameter tuning improved model performance by up to 6.3% in Titanic and 3.33% in Steel Defect, surpassing human-tuned models in some cases. In contrast, Gemini exhibited only marginal tuning improvements (0.19–1.78%) and failed to compensate for preprocessing inefficiencies. These findings show that while LLMs can assist with ML coding tasks, they exhibit varying levels of efficiency depending on task complexity and preprocessing requirements. GPT demonstrated superior hyperparameter tuning capabilities, whereas both LLMs struggled with intuitive data preprocessing, particularly in feature selection and transformation. This study provides practical insights into the strengths and limitations of LLMs in ML workflows, offering guidance for their effective integration into real-world applications.",Artificial intelligence; machine learning; code generation; large language model (LLM); generative pre-trained transformer (GPT); Encoding; Codes; Benchmark testing; Tuning; Software development management; Automated machine learning; Steel; Chatbots; Accuracy,,https://doi.org/10.1109/access.2025.3553870,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10937484,24 Mar 2025,,,IEEE Xplore,1,IEEE Xplore:10937484,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10937484,
P00236,paper_d2cd9ca1e19d37eb,inproceedings,Towards Agent-Based Generation of Multi-Step Vulnerability Scenarios for Cyber Ranges,Towards Agent-Based Generation of Multi-Step Vulnerability Scenarios for Cyber Ranges,D. Pavelić; I. Kovačević; F. Katulić; S. Groš,D. Pavelić; I. Kovačević; F. Katulić; S. Groš,2025,2025,"2025 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)","2025 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)",,,1--6,IEEE,1847-358X,978-953-290-143-6,10.23919/softcom66362.2025.11197359,,,"This paper investigates the ability of large language models (LLMs) to generate Docker-based environments containing vulnerabilities which can be chained across networked systems to perform tasks such as privilege escalation, lateral movement, and full system compromise in cyber range exercises. Using a multi-agent setup, we perform a preliminary evaluation of GPT-4.1 and Mistral-7B on scenario validity, file completeness, Common Vulnerabilities and Exposures (CVE) mapping, and exploit-chain coherence. Our results show that GPT-4.1 delivers structured and coherent outputs, while Mistral-7B offers greater vulnerability chain diversity but exhibits more technical flaws. The results highlight both the potential and the current limitations of LLMs in automating the development of realistic, multistage security scenarios.",LLM; Cybersecurity; Vulnerability Chaining; Docker; Cyber Range; Large language models; Coherence; Software; Computer networks; Telecommunications; Computer security,,https://doi.org/10.23919/softcom66362.2025.11197359,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11197359,17 Oct 2025,,,IEEE Xplore,1,IEEE Xplore:11197359,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11197359,
