Title,Rater1,Rater2,Rater3
CodeCipher: Learning to Obfuscate Source Code Against LLMs,13,16,14
Which Programming Language and What Features at Pre-training Stage Affect Downstream Logical Inference Performance?,10,10,12
Is Functional Correctness Enough to Evaluate Code Language Models? Exploring Diversity of Generated Codes,12,10,12
Synthetic Data Generation Using Large Language Models: Advances in Text and Code,16,16,16
Code Llama: Open Foundation Models for Code,14,14,15
DataComp-LM: In search of the next generation of training sets for language models,12,12,13
MetaLint: Generalizable Idiomatic Code Quality Analysis through Instruction-Following and Easy-to-Hard Generalization,9,9,9
"CODEJUDGE : Evaluating Code Generation with Large Language
 Models",14,12,12
Datasets for Large Language Models: A Comprehensive Survey,11,12,12
Cracks in The Stack: Hidden Vulnerabilities and Licensing Risks in LLM Pre-Training Datasets,13,14,11
Large Language Model Data Augmentation for Text-Pair Classification Tasks,8,6,7
"RedStone: Curating General, Code, Math, and QA Data for Large Language Models",10,10,8
A Survey on Large Language Models for Code Generation,16,16,16
MG-Verilog: Multi-grained Dataset Towards Enhanced LLM-assisted Verilog Generation,14,12,8
aiXcoder-7B: A Lightweight and Effective Large Language Model for Code Processing,12,14,12
RTL-Breaker: Assessing the Security of LLMs Against Backdoor Attacks on HDL Code Generation,10,10,10
On Inter-Dataset Code Duplication and Data Leakage in Large Language Models,7,12,12
Unseen Horizons: Unveiling the Real Capability of LLM Code Generation Beyond the Familiar,14,10,12
Unseen-Codebases-Domain Data Synthesis and Training Based on Code Graphs,16,15,16
Evaluating Large Language Models in Class-Level Code Generation,14,12,12
Understanding Privacy Risks of Large Language Models in Japanese Based on Training Data Extraction Attacks,13,10,12
DataRecipe --- How to Cook the Data for CodeLLM?,14,12,14
Uncovering Pretraining Code in LLMs: A Syntax-Aware Attribution Approach,14,12,10
RealSec-bench: A Benchmark for Evaluating Secure Code Generation in Real-World Repositories,12,12,12
RustEvo^ 2: An Evolving Benchmark for API Evolution in LLM-based Rust Code Generation,16,13,16
DRAINCODE: Stealthy Energy Consumption Attacks on Retrieval-Augmented Code Generation via Context PoisoningPreprint,12,10,10
LLM-ProS: Analyzing Large Language Models' Performance in Competitive Problem Solving,12,11,11
Imperfect Code Generation: Uncovering Weaknesses in Automatic Code Generation by Large Language Models,15,12,14
Code Copycat Conundrum: Demystifying Repetition in LLM-based Code Generation,12,13,9
ShortCoder: Knowledge-Augmented Syntax Optimization for Token-Efficient Code GenerationPreprint,12,14,14
Adadec: Uncertainty-guided adaptive decoding for llm-based code generation,10,9,9
A Preliminary Study on the Robustness of Code Generation by Large Language Models,13,8,10
What to retrieve for effective retrieval-augmented code generation? an empirical study and beyond,15,12,12
"KodCode: A Diverse, Challenging, and Verifiable Synthetic Dataset for Coding",6,8,8
Asleep at the keyboard? assessing the security of github copilot's code contributions,12,12,10
Harnessing Large Language Models for Curated Code Reviews,8,8,8
